SPEEDLIMIT,SURFACEWIDTH,AWDT_ROUNDED,one_way,is_steep,is_paved,is_hwy,is_bus,is_truck,is_light,is_clear,is_child,severity
25.0,58.0,17000,1,0,1,0,1,0,1,0,0,2
25.0,58.0,17000,1,0,1,0,1,0,0,0,0,2
25.0,58.0,17000,1,0,1,0,1,0,1,0,0,2
25.0,58.0,17000,1,0,1,0,1,0,1,0,0,2
25.0,54.0,15500,1,0,1,0,1,0,1,0,0,3
25.0,54.0,15500,1,0,1,0,1,0,1,0,0,3
25.0,54.0,20100,1,0,1,0,1,0,1,0,0,3
25.0,54.0,15500,1,0,1,0,1,0,1,1,0,3
25.0,54.0,15500,1,0,1,0,1,0,1,0,0,3
25.0,54.0,20100,1,0,1,0,1,0,1,0,0,3
25.0,54.0,15500,1,0,1,0,1,0,1,0,0,2
25.0,54.0,20100,1,0,1,0,1,0,1,0,0,3
25.0,54.0,20100,1,0,1,0,1,0,1,0,0,3
25.0,54.0,14000,1,0,1,0,1,0,1,0,0,2
25.0,54.0,14000,1,0,1,0,1,0,1,0,0,3
25.0,54.0,14000,1,0,1,0,1,0,0,0,0,2
25.0,54.0,14000,1,0,1,0,1,0,1,0,0,3
25.0,54.0,14000,1,0,1,0,1,0,1,0,0,2
25.0,54.0,14000,1,0,1,0,1,0,1,0,0,3
25.0,54.0,14000,1,0,1,0,1,0,1,0,0,3
25.0,42.0,10000,1,1,1,0,1,0,1,0,0,2
25.0,54.0,12800,1,0,1,0,1,0,0,0,0,3
25.0,54.0,12800,1,0,1,0,1,0,0,0,0,2
25.0,42.0,7400,1,1,0,0,1,0,1,0,0,3
25.0,54.0,19200,1,0,1,0,1,0,0,0,0,3
25.0,54.0,19200,1,0,1,0,1,0,1,0,0,3
25.0,58.0,17000,1,0,1,0,1,0,0,0,0,3
25.0,58.0,17000,1,0,1,0,1,0,1,1,0,3
25.0,58.0,17000,1,0,1,0,1,0,0,0,0,3
25.0,58.0,17000,1,0,1,0,1,0,1,0,0,3
25.0,58.0,16000,1,0,1,0,1,0,0,0,0,3
25.0,42.0,6500,1,1,0,0,1,0,1,0,0,1
25.0,42.0,6500,1,1,0,0,1,0,1,0,0,3
25.0,54.0,20000,1,0,1,0,1,0,1,0,0,2
25.0,54.0,20000,1,0,1,0,1,0,1,0,0,2
25.0,54.0,20000,1,0,1,0,1,0,1,0,0,1
25.0,54.0,20000,1,0,1,0,1,0,1,1,0,2
25.0,58.0,12500,1,0,1,0,1,0,1,1,0,3
25.0,33.0,4700,1,1,0,0,1,0,1,0,0,2
25.0,33.0,4700,1,1,0,0,1,0,0,0,0,2
25.0,33.0,4700,1,1,0,0,1,0,1,0,0,2
25.0,33.0,4700,1,1,0,0,1,0,0,0,0,2
25.0,42.0,7500,1,0,1,0,1,0,0,0,0,2
25.0,54.0,11100,0,0,1,0,1,0,1,0,0,3
25.0,42.0,1000,1,0,1,0,0,0,1,0,0,3
20.0,24.0,6700,0,0,0,0,0,0,0,0,0,3
20.0,0.0,6700,0,0,0,0,0,0,1,0,0,3
20.0,0.0,6700,0,0,0,0,0,0,1,0,0,2
25.0,24.0,2300,0,0,0,0,0,0,1,0,0,3
25.0,40.0,18000,0,0,1,0,1,0,0,0,0,3
25.0,40.0,7200,0,0,1,0,1,0,1,0,0,3
25.0,55.0,20800,0,0,0,0,1,0,0,0,0,2
20.0,25.0,15000,0,0,1,0,0,0,0,0,1,3
25.0,46.0,6300,0,0,1,0,1,0,0,0,0,3
25.0,54.0,11800,0,0,1,0,1,0,1,0,0,3
25.0,42.0,7000,0,1,0,0,1,0,0,0,0,3
25.0,42.0,6500,1,1,0,0,1,0,1,0,0,1
25.0,46.0,9700,0,0,1,0,1,0,1,0,0,2
25.0,44.0,5800,1,0,1,0,1,0,0,1,0,1
25.0,40.0,9900,0,0,0,0,1,0,1,0,0,3
25.0,30.0,8900,0,0,1,0,0,0,1,0,0,3
25.0,42.0,1000,1,0,1,0,0,0,0,0,0,2
25.0,42.0,3000,0,0,0,0,1,0,0,0,0,2
25.0,40.0,5100,0,0,1,0,1,0,1,0,0,3
25.0,36.0,4400,0,0,1,0,1,0,1,0,0,3
25.0,36.0,4400,0,0,1,0,1,0,1,0,0,3
25.0,36.0,4400,0,0,1,0,1,0,1,0,0,2
25.0,40.0,4800,0,1,1,0,0,0,1,0,0,3
25.0,54.0,22000,1,0,1,0,1,0,0,0,0,2
25.0,50.0,15000,1,0,1,0,1,0,1,0,0,3
25.0,50.0,15000,1,0,1,0,1,0,1,0,0,2
30.0,83.0,37000,0,0,1,0,1,1,1,0,0,3
30.0,92.0,37000,0,0,1,0,1,1,1,0,0,2
25.0,53.0,17500,1,0,1,0,1,0,1,0,0,2
30.0,83.0,32000,0,0,1,0,1,1,0,0,0,1
20.0,0.0,37000,0,0,0,0,1,0,1,0,0,3
35.0,24.0,11400,1,0,1,0,1,1,1,0,0,3
25.0,38.0,3000,1,0,1,0,1,0,1,0,0,2
25.0,42.0,11500,0,0,1,0,1,0,1,0,0,3
25.0,40.0,5600,0,0,1,0,1,0,1,0,0,3
25.0,47.0,7000,0,0,0,0,1,0,1,0,0,2
25.0,32.0,10000,1,0,1,0,1,0,1,0,0,3
25.0,33.0,17600,1,0,1,0,1,0,1,0,0,3
20.0,44.0,9400,1,0,0,0,1,0,0,0,0,3
25.0,46.0,12600,0,1,1,0,1,0,1,1,0,2
25.0,47.0,9800,1,0,1,0,1,0,1,1,0,2
25.0,47.0,9800,1,0,1,0,1,0,0,0,0,1
25.0,32.0,8300,1,0,1,0,1,0,1,0,0,3
25.0,45.0,5800,0,1,0,0,1,0,1,0,0,2
20.0,32.0,14800,0,0,1,0,0,0,1,0,0,3
20.0,18.0,3900,0,0,0,0,1,0,0,0,0,3
20.0,42.0,18200,1,0,0,0,0,0,0,0,0,3
25.0,42.0,4600,1,1,0,0,1,0,1,0,0,2
25.0,44.0,14000,1,1,0,0,1,0,1,0,0,3
25.0,42.0,12000,1,0,1,0,1,0,0,0,0,3
25.0,42.0,12000,1,0,1,0,1,0,1,0,0,3
25.0,43.0,13800,1,0,0,0,1,0,1,0,0,1
20.0,25.0,17500,0,0,1,0,0,0,1,0,0,2
25.0,43.0,6000,0,1,0,0,0,0,1,0,0,3
25.0,42.0,7200,0,1,0,0,1,0,1,0,0,3
25.0,42.0,9500,1,0,1,0,1,0,1,0,0,1
25.0,56.0,4100,0,0,1,0,1,0,1,0,0,2
25.0,56.0,4100,0,0,1,0,1,0,0,0,0,2
25.0,56.0,4100,0,0,1,0,1,0,1,0,0,2
25.0,42.0,7500,0,0,1,0,1,0,0,0,0,1
25.0,34.0,8600,0,1,0,0,1,0,0,1,0,2
25.0,53.0,36400,0,0,1,0,1,1,0,0,0,2
25.0,42.0,7600,1,0,0,0,1,0,1,0,0,3
25.0,42.0,7600,1,0,0,0,1,0,0,1,0,3
25.0,33.0,9600,1,0,1,0,1,0,1,0,0,3
25.0,33.0,9600,1,0,1,0,1,0,1,0,0,2
25.0,42.0,7600,1,0,0,0,1,0,1,0,0,3
25.0,42.0,3500,1,0,1,0,1,0,1,0,0,2
25.0,42.0,5800,1,0,1,0,1,0,1,0,0,3
25.0,42.0,3500,1,0,0,0,1,0,1,0,0,3
20.0,42.0,3300,1,0,1,0,1,0,0,0,0,2
25.0,27.0,2900,0,1,1,0,1,0,0,0,0,3
25.0,42.0,7600,1,0,0,0,1,0,0,1,0,2
25.0,42.0,7600,1,0,0,0,1,0,1,0,0,3
25.0,42.0,7900,0,0,1,0,1,0,1,0,0,1
25.0,50.0,33600,0,0,1,0,1,0,0,0,0,2
20.0,25.0,10100,0,0,0,0,0,0,1,0,0,3
25.0,54.0,10100,0,0,1,0,1,0,1,0,0,3
20.0,25.0,15000,0,0,1,0,0,0,1,0,0,3
25.0,54.0,15000,0,0,1,0,1,0,1,0,0,3
25.0,54.0,15000,0,0,1,0,1,0,1,0,0,2
25.0,54.0,15000,0,0,1,0,1,0,1,0,0,3
25.0,54.0,15000,0,0,1,0,1,0,1,0,0,3
20.0,25.0,15000,0,0,1,0,0,0,1,0,0,3
25.0,18.0,15000,0,0,0,0,1,0,1,0,0,2
20.0,25.0,12000,0,0,1,0,0,0,1,0,0,3
20.0,25.0,12000,0,0,1,0,0,0,1,0,0,2
20.0,25.0,12000,0,0,1,0,0,0,1,0,1,3
25.0,54.0,15000,0,0,1,0,1,0,1,0,0,3
25.0,40.0,4400,0,0,0,0,1,0,1,0,0,3
25.0,45.0,22100,0,0,0,0,1,0,0,0,0,3
25.0,42.0,9000,1,0,0,0,1,0,1,0,0,3
25.0,42.0,12000,0,0,0,0,1,0,1,0,0,3
25.0,44.0,3900,0,0,1,0,1,0,1,0,0,1
20.0,0.0,3900,0,0,0,0,0,0,1,0,0,3
