line_i,REPORT NUMBER,DATETIME,geometry,line_geo,SPEEDLIMIT,SURFACEWIDTH,one_way,is_steep,is_paved,is_hwy,is_bus,is_truck,is_light,is_clear,is_hit_run,is_workzone,is_child,impaired,speeding,driver_16_25,driver_65_plus,severity
6531.0,3814154,2018-08-11 11:50:00,POINT (-122.2878686520605 47.59321018886617),"LINESTRING (-122.2878590569324 47.59343194283744, -122.2878597342852 47.59341630006266, -122.2878632909701 47.59333408519923, -122.2878675597592 47.59323542935337, -122.2878718289385 47.59313677876662, -122.2878760963202 47.59303812012991, -122.2878778470603 47.59299769683448, -122.2878786737798 47.59297858962039, -122.2878787268367 47.59294399488969, -122.287878473336 47.59293944425033, -122.2878767955293 47.5929094255334, -122.2878728820707 47.59287493276537, -122.2878669918646 47.59284057056618, -122.2878640812077 47.59282787130837, -122.2878593692204 47.59280730204163, -122.2878498960683 47.59277425319779, -122.287838584451 47.59274147424496, -122.2878249928555 47.59270795370698, -122.2878094799221 47.59267481923776, -122.2877920707379 47.5926421236883, -122.2877751375206 47.5926136493506, -122.2877567660342 47.59258559000065, -122.2877369788529 47.59255797360245, -122.2877248943284 47.59254249294887, -122.2877157956694 47.59253083640483, -122.2876932445181 47.5925042068284, -122.2876378663373 47.59244259338158, -122.2876059349151 47.59240706457661, -122.2875888082728 47.59238689777122, -122.2875724107073 47.592366456131, -122.2875567504342 47.59234575516958, -122.2875362475252 47.59231659956979, -122.2875172097811 47.59228699687249, -122.2874996523251 47.59225697777081, -122.2874835989263 47.59222657600594)",25.0,32.0,0,0,1,0,1,0,1,0,0,0,0,1,1,1,0,2
14993.0,E863229,2018-11-08 17:43:00,POINT (-122.327195081978 47.62833126140141),"LINESTRING (-122.3291666794216 47.6251205181807, -122.3290864777046 47.62522355516344, -122.3290788945127 47.62525421349305, -122.3290623349419 47.62542385675228, -122.3290422393771 47.62588826207173, -122.3290335440691 47.62644296675641, -122.3290226341894 47.62728808629072, -122.3290308945301 47.62774271717413, -122.3290265397026 47.62777490737785, -122.3290176632718 47.62780299107662, -122.3290034412899 47.62782876539239, -122.3289841603436 47.62786234206009, -122.3289262418601 47.62792974866525, -122.3288780266149 47.62796727579763, -122.3288224648206 47.62799418796973, -122.3287061188093 47.62803582367692, -122.3286069259387 47.62806378485361, -122.3280006816395 47.6281888533304, -122.3275749840378 47.6282744175365, -122.3273650588645 47.6283209693727, -122.3273145048992 47.62832817844562, -122.3272424202355 47.62833150503546, -122.3271772704393 47.62833116973142, -122.3271367257736 47.62832932150177, -122.3270999232778 47.62832451034066)",25.0,60.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
705.0,E885439,2019-01-23 09:13:00,POINT (-122.3291638310546 47.62430687646523),"LINESTRING (-122.3291636537052 47.62427870415985, -122.3291641714413 47.62436094755387, -122.3291644162776 47.62439976676379, -122.3291666794216 47.6251205181807)",25.0,46.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3
16630.0,E798601,2018-05-03 08:00:00,POINT (-122.3821642505239 47.6667021020944),"LINESTRING (-122.3821327494445 47.66667536299812, -122.3823541790624 47.66686331934746)",25.0,58.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,3
535.0,3809933,2018-12-04 14:48:00,POINT (-122.3639843362948 47.65818275833038),"LINESTRING (-122.3639826106364 47.65776263154051, -122.3639843678649 47.65819044435261)",20.0,23.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3
9309.0,3695644,2017-06-10 19:41:00,POINT (-122.3600774359783 47.65414584120503),"LINESTRING (-122.3600631614074 47.65414586374188, -122.3608382344058 47.65414464004795)",20.0,42.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3
13940.0,E700356,2017-08-07 08:10:00,POINT (-122.3619125728649 47.65605530454079),"LINESTRING (-122.3610715385803 47.65518843096923, -122.3619194280351 47.65606237032402)",25.0,54.0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,2
13940.0,3737145,2016-10-13 08:00:00,POINT (-122.3611128612264 47.65523102318038),"LINESTRING (-122.3610715385803 47.65518843096923, -122.3619194280351 47.65606237032402)",25.0,54.0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,2
806.0,3811702,2018-09-16 08:35:00,POINT (-122.338061830264 47.61636013124911),"LINESTRING (-122.338753234632 47.61582545488169, -122.3378936291159 47.61649020444941)",25.0,44.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
8946.0,3769313,2017-06-06 16:39:00,POINT (-122.3481146732781 47.72377815230266),"LINESTRING (-122.3481952986375 47.72321837751051, -122.3477672686346 47.72619015224425, -122.347753784042 47.72629045225323, -122.3477458533197 47.72635927588983, -122.3477422120135 47.7263908653221, -122.3477325533885 47.72649136634557, -122.347724807264 47.72659194182366, -122.3477189790076 47.72669257922592, -122.3477150638311 47.72679325668033, -122.3477135076503 47.7268612714219)",25.0,65.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
