REPORT NUMBER,PRIMARY TRAFFICWAY,INTERSECTING TRAFFICWAY,DATETIME,LONGITUDE,LATITUDE,is_dry,is_light,is_clear,is_hit_run,is_workzone,is_child,impaired,speeding,driver_16_25,driver_65_plus,severity
EA27536,3RD AVE,VIRGINIA ST,2020-03-25 20:02:00,-122.34090404524353,47.61238858017682,1,0,1,0,0,0,0,0,0,0,1
3751179,3RD AVE NE,,2018-07-13 12:00:00,-122.32575907821567,47.700713340582624,1,1,0,1,0,0,0,0,0,0,3
E764987,3RD AVE NE,NE 103RD ST,2018-01-30 14:40:00,-122.32579861077635,47.70315778530297,0,1,0,0,0,0,0,0,0,1,3
E923953,3RD AVE NW,NW 77TH ST,2019-05-22 14:55:00,-122.36064856209393,47.684723727583226,1,1,0,0,0,0,0,0,0,0,3
3756503,3RD AVE S,,2017-05-08 19:47:00,-122.32998138287367,47.58666416466092,1,1,0,0,0,0,0,0,0,0,3
E682399,3RD AVE S,,2017-06-14 10:48:00,-122.33027993047926,47.59934333116493,0,0,0,1,0,0,0,0,0,0,2
3289317,3RD AVE S,S MAIN ST,2016-11-03 18:54:00,-122.33028320520758,47.60005775842791,1,0,0,0,0,0,0,0,0,1,2
E598023,3RD AVE W,W CREMONA ST,2016-09-30 13:26:00,-122.36088189718514,47.64957500435097,1,1,0,1,0,0,0,0,0,0,3
E998647,40TH AVE NE,,2019-12-24 14:30:00,-122.28481981818565,47.66835765746778,1,1,0,1,0,0,0,0,0,0,3
3284336,40TH AVE NE,BURKE-GILMAN TRL,2017-11-25 09:58:00,-122.28481502311175,47.667478061434224,1,1,0,0,0,0,0,0,0,0,3
3755063,40TH AVE NE,BURKE-GILMAN TRL,2017-06-05 13:33:00,-122.2848128662431,47.66725742985795,1,1,0,1,0,0,0,0,0,0,2
EA40366,42ND AVE S,S TRENTON ST,2020-06-11 18:32:00,-122.28077418328652,47.524275178837925,1,1,1,0,0,0,0,0,0,0,2
3752822,45TH AVE SW,KILBOURNE CT SW,2019-08-10 15:07:00,-122.39118836458577,47.51801396892159,1,1,0,0,0,0,0,0,0,1,3
3812951,4TH AVE,,2019-03-25 17:50:00,-122.33777368990836,47.611417118785376,0,0,0,1,0,0,0,0,0,0,2
