AWDT,ADT,AWDT_ROUNDED,REPORT NUMBER,vol_geo,line_i,DATETIME,geometry,line_geo,SPEEDLIMIT,SURFACEWIDTH,one_way,is_steep,is_paved,is_hwy,is_bus,is_truck,is_light,is_clear,is_hit_run,is_workzone,is_child,impaired,speeding,driver_16_25,driver_65_plus,severity
13066.0,12087.0,13100,3774057,"MULTILINESTRING ((-122.3167815239497 47.60351415994518, -122.3167812117053 47.60418975696334, -122.316781132711 47.60436038504321), (-122.3167806860529 47.60556728379964, -122.3167804659814 47.60620304511057), (-122.3167818935114 47.60169336763757, -122.3167818036382 47.60268590678361), (-122.316781132711 47.60436038504321, -122.316780930803 47.60498026451873, -122.3167808925764 47.60519641923843), (-122.3167818036382 47.60268590678361, -122.3167815239497 47.60351415994518), (-122.3167808925764 47.60519641923843, -122.3167806860529 47.60556728379964))",2359.0,2017-09-13 22:47:00,POINT (-122.3167812583547 47.60408872088445),"LINESTRING (-122.3167815240629 47.60351416000071, -122.3167812116301 47.60418975693863, -122.3167811327256 47.60436038508946)",25.0,52.0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2
17141.0,16571.0,17600,E854334,"MULTILINESTRING ((-122.3167799705519 47.60922659445392, -122.316779352667 47.61039501205081), (-122.316779352667 47.61039501205081, -122.3167792897297 47.61055500477824, -122.316778888887 47.61156267643909), (-122.316778888887 47.61156267643909, -122.3167333906163 47.61288923571168), (-122.3167799138015 47.60805877756261, -122.3167799705519 47.60922659445392))",5084.0,2018-10-03 18:19:00,POINT (-122.3167799416467 47.6086319607547),"LINESTRING (-122.3167799138513 47.60805877754387, -122.3167799704824 47.60922659451791)",25.0,52.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
17141.0,16571.0,17600,E614836,"MULTILINESTRING ((-122.3167799705519 47.60922659445392, -122.316779352667 47.61039501205081), (-122.316779352667 47.61039501205081, -122.3167792897297 47.61055500477824, -122.316778888887 47.61156267643909), (-122.316778888887 47.61156267643909, -122.3167333906163 47.61288923571168), (-122.3167799138015 47.60805877756261, -122.3167799705519 47.60922659445392))",5084.0,2016-11-29 17:17:00,POINT (-122.3167799543825 47.60889459020537),"LINESTRING (-122.3167799138513 47.60805877754387, -122.3167799704824 47.60922659451791)",25.0,52.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3
12182.0,12100.0,12200,3773908,"LINESTRING (-122.3167333906163 47.61288923571168, -122.3168358495355 47.61410376899754)",39.0,2017-07-31 18:39:00,POINT (-122.3168084550654 47.61377903953223),"LINESTRING (-122.3167333904925 47.61288923577351, -122.3168358495015 47.6141037689114)",25.0,52.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
11151.0,10814.0,11200,E660020,"LINESTRING (-122.3168358495355 47.61410376899754, -122.3168541691692 47.61526393313111)",2362.0,2017-04-04 17:45:00,POINT (-122.3168386479411 47.61428099080018),"LINESTRING (-122.3168358495015 47.6141037689114, -122.316854169188 47.61526393312224)",25.0,52.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
13066.0,12087.0,13100,E613368,"MULTILINESTRING ((-122.3167815239497 47.60351415994518, -122.3167812117053 47.60418975696334, -122.316781132711 47.60436038504321), (-122.3167806860529 47.60556728379964, -122.3167804659814 47.60620304511057), (-122.3167818935114 47.60169336763757, -122.3167818036382 47.60268590678361), (-122.316781132711 47.60436038504321, -122.316780930803 47.60498026451873, -122.3167808925764 47.60519641923843), (-122.3167818036382 47.60268590678361, -122.3167815239497 47.60351415994518), (-122.3167808925764 47.60519641923843, -122.3167806860529 47.60556728379964))",16791.0,2016-11-08 17:34:00,POINT (-122.3167806192034 47.60576045728109),"LINESTRING (-122.3167806860941 47.60556728374128, -122.3167804659472 47.60620304508554)",25.0,52.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3
17141.0,16571.0,17600,EA26016,"MULTILINESTRING ((-122.3167799705519 47.60922659445392, -122.316779352667 47.61039501205081), (-122.316779352667 47.61039501205081, -122.3167792897297 47.61055500477824, -122.316778888887 47.61156267643909), (-122.316778888887 47.61156267643909, -122.3167333906163 47.61288923571168), (-122.3167799138015 47.60805877756261, -122.3167799705519 47.60922659445392))",2360.0,2020-03-17 13:38:00,POINT (-122.3167790217105 47.61122896691147),"LINESTRING (-122.3167793526482 47.61039501200112, -122.3167792897206 47.61055500482571, -122.3167788890065 47.61156267635567)",25.0,52.0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,3
12182.0,12100.0,12200,3814618,"LINESTRING (-122.3167333906163 47.61288923571168, -122.3168358495355 47.61410376899754)",39.0,2019-11-18 16:42:00,POINT (-122.3167555266122 47.6131516338892),"LINESTRING (-122.3167333904925 47.61288923577351, -122.3168358495015 47.6141037689114)",25.0,52.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3
12182.0,12100.0,12200,3814186,"LINESTRING (-122.3167333906163 47.61288923571168, -122.3168358495355 47.61410376899754)",39.0,2018-09-18 10:09:00,POINT (-122.316757494267 47.61317495816293),"LINESTRING (-122.3167333904925 47.61288923577351, -122.3168358495015 47.6141037689114)",25.0,52.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3
13066.0,12087.0,13100,3814082,"MULTILINESTRING ((-122.3167815239497 47.60351415994518, -122.3167812117053 47.60418975696334, -122.316781132711 47.60436038504321), (-122.3167806860529 47.60556728379964, -122.3167804659814 47.60620304511057), (-122.3167818935114 47.60169336763757, -122.3167818036382 47.60268590678361), (-122.316781132711 47.60436038504321, -122.316780930803 47.60498026451873, -122.3167808925764 47.60519641923843), (-122.3167818036382 47.60268590678361, -122.3167815239497 47.60351415994518), (-122.3167808925764 47.60519641923843, -122.3167806860529 47.60556728379964))",2359.0,2018-07-10 17:35:00,POINT (-122.3167811350729 47.60435530895649),"LINESTRING (-122.3167815240629 47.60351416000071, -122.3167812116301 47.60418975693863, -122.3167811327256 47.60436038508946)",25.0,52.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3
13066.0,12087.0,13100,3552111,"MULTILINESTRING ((-122.3167815239497 47.60351415994518, -122.3167812117053 47.60418975696334, -122.316781132711 47.60436038504321), (-122.3167806860529 47.60556728379964, -122.3167804659814 47.60620304511057), (-122.3167818935114 47.60169336763757, -122.3167818036382 47.60268590678361), (-122.316781132711 47.60436038504321, -122.316780930803 47.60498026451873, -122.3167808925764 47.60519641923843), (-122.3167818036382 47.60268590678361, -122.3167815239497 47.60351415994518), (-122.3167808925764 47.60519641923843, -122.3167806860529 47.60556728379964))",2359.0,2017-08-14 08:26:00,POINT (-122.3167811350729 47.60435530895649),"LINESTRING (-122.3167815240629 47.60351416000071, -122.3167812116301 47.60418975693863, -122.3167811327256 47.60436038508946)",25.0,52.0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,3
15070.0,0.0,15100,3771485,"MULTILINESTRING ((-122.3168913206563 47.6176005986564, -122.316894304599 47.61778820277266, -122.3169098699152 47.61876844863983), (-122.3168728494818 47.6164321916748, -122.3168913206563 47.6176005986564), (-122.3168541691692 47.61526393313111, -122.3168548267114 47.61530505176036, -122.3168728494818 47.6164321916748), (-122.3169098699152 47.61876844863983, -122.3169283425092 47.61993670711801))",15052.0,2016-09-17 23:37:00,POINT (-122.3169165286477 47.6187684005149),"LINESTRING (-122.3182153655608 47.6187590090718, -122.3169098698467 47.6187684486624)",20.0,30.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
13066.0,12087.0,13100,E700250,"MULTILINESTRING ((-122.3167815239497 47.60351415994518, -122.3167812117053 47.60418975696334, -122.316781132711 47.60436038504321), (-122.3167806860529 47.60556728379964, -122.3167804659814 47.60620304511057), (-122.3167818935114 47.60169336763757, -122.3167818036382 47.60268590678361), (-122.316781132711 47.60436038504321, -122.316780930803 47.60498026451873, -122.3167808925764 47.60519641923843), (-122.3167818036382 47.60268590678361, -122.3167815239497 47.60351415994518), (-122.3167808925764 47.60519641923843, -122.3167806860529 47.60556728379964))",5083.0,2017-07-07 17:36:00,POINT (-122.3167818039156 47.60268299166496),"LINESTRING (-122.3167818935147 47.60169336765313, -122.3167818036517 47.60268590684915)",25.0,52.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,3
13066.0,12087.0,13100,E845333,"MULTILINESTRING ((-122.3167815239497 47.60351415994518, -122.3167812117053 47.60418975696334, -122.316781132711 47.60436038504321), (-122.3167806860529 47.60556728379964, -122.3167804659814 47.60620304511057), (-122.3167818935114 47.60169336763757, -122.3167818036382 47.60268590678361), (-122.316781132711 47.60436038504321, -122.316780930803 47.60498026451873, -122.3167808925764 47.60519641923843), (-122.3167818036382 47.60268590678361, -122.3167815239497 47.60351415994518), (-122.3167808925764 47.60519641923843, -122.3167806860529 47.60556728379964))",5083.0,2018-09-07 16:26:00,POINT (-122.3167818039156 47.60268299166496),"LINESTRING (-122.3167818935147 47.60169336765313, -122.3167818036517 47.60268590684915)",25.0,52.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
6551.0,6058.0,6700,3774068,"MULTILINESTRING ((-122.3181105476214 47.60620594490652, -122.3167804659814 47.60620304511057), (-122.3194157972164 47.60620860203829, -122.3181105476214 47.60620594490652), (-122.320749632018 47.60621255367317, -122.3194157972164 47.60620860203829))",6928.0,2019-03-25 17:15:00,POINT (-122.3167917736875 47.60620306973837),"LINESTRING (-122.3181105475559 47.60620594489356, -122.3167804659472 47.60620304508554)",25.0,42.0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,2
20452.0,19394.0,20500,E829972,"LINESTRING (-122.3181001127744 47.61227775573929, -122.3177276999221 47.61244437856531, -122.3167333906163 47.61288923571168)",1118.0,2018-08-04 13:24:00,POINT (-122.3168248875224 47.61284829970658),"LINESTRING (-122.3181001126877 47.6122777557349, -122.317727699937 47.61244437851385, -122.3167333904925 47.61288923577351)",25.0,48.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
17141.0,16571.0,17600,EA09579,"MULTILINESTRING ((-122.3167799705519 47.60922659445392, -122.316779352667 47.61039501205081), (-122.316779352667 47.61039501205081, -122.3167792897297 47.61055500477824, -122.316778888887 47.61156267643909), (-122.316778888887 47.61156267643909, -122.3167333906163 47.61288923571168), (-122.3167799138015 47.60805877756261, -122.3167799705519 47.60922659445392))",2360.0,2020-01-30 17:16:00,POINT (-122.316779345254 47.61041381167441),"LINESTRING (-122.3167793526482 47.61039501200112, -122.3167792897206 47.61055500482571, -122.3167788890065 47.61156267635567)",25.0,52.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
17141.0,16571.0,17600,E925384,"MULTILINESTRING ((-122.3167799705519 47.60922659445392, -122.316779352667 47.61039501205081), (-122.316779352667 47.61039501205081, -122.3167792897297 47.61055500477824, -122.316778888887 47.61156267643909), (-122.316778888887 47.61156267643909, -122.3167333906163 47.61288923571168), (-122.3167799138015 47.60805877756261, -122.3167799705519 47.60922659445392))",2360.0,2019-05-07 18:14:00,POINT (-122.3167793452648 47.61041378426972),"LINESTRING (-122.3167793526482 47.61039501200112, -122.3167792897206 47.61055500482571, -122.3167788890065 47.61156267635567)",25.0,52.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
15070.0,0.0,15100,3702270,"MULTILINESTRING ((-122.3168913206563 47.6176005986564, -122.316894304599 47.61778820277266, -122.3169098699152 47.61876844863983), (-122.3168728494818 47.6164321916748, -122.3168913206563 47.6176005986564), (-122.3168541691692 47.61526393313111, -122.3168548267114 47.61530505176036, -122.3168728494818 47.6164321916748), (-122.3169098699152 47.61876844863983, -122.3169283425092 47.61993670711801))",17864.0,2018-06-12 13:32:00,POINT (-122.3168542309096 47.61526779299193),"LINESTRING (-122.316854169188 47.61526393312224, -122.3168548266981 47.6153050517252, -122.3168728494878 47.61643219172693)",25.0,52.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
17141.0,16571.0,17600,3795391,"MULTILINESTRING ((-122.3167799705519 47.60922659445392, -122.316779352667 47.61039501205081), (-122.316779352667 47.61039501205081, -122.3167792897297 47.61055500477824, -122.316778888887 47.61156267643909), (-122.316778888887 47.61156267643909, -122.3167333906163 47.61288923571168), (-122.3167799138015 47.60805877756261, -122.3167799705519 47.60922659445392))",22752.0,2019-07-27 23:18:00,POINT (-122.316796262173 47.61156274038709),"LINESTRING (-122.3177251609374 47.61156616398331, -122.3167788890065 47.61156267635567)",20.0,0.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2
13066.0,12087.0,13100,3814222,"MULTILINESTRING ((-122.3167815239497 47.60351415994518, -122.3167812117053 47.60418975696334, -122.316781132711 47.60436038504321), (-122.3167806860529 47.60556728379964, -122.3167804659814 47.60620304511057), (-122.3167818935114 47.60169336763757, -122.3167818036382 47.60268590678361), (-122.316781132711 47.60436038504321, -122.316780930803 47.60498026451873, -122.3167808925764 47.60519641923843), (-122.3167818036382 47.60268590678361, -122.3167815239497 47.60351415994518), (-122.3167808925764 47.60519641923843, -122.3167806860529 47.60556728379964))",2359.0,2018-09-20 06:55:00,POINT (-122.3167815128648 47.6035383744435),"LINESTRING (-122.3167815240629 47.60351416000071, -122.3167812116301 47.60418975693863, -122.3167811327256 47.60436038508946)",25.0,52.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2
13066.0,12087.0,13100,E700065,"MULTILINESTRING ((-122.3167815239497 47.60351415994518, -122.3167812117053 47.60418975696334, -122.316781132711 47.60436038504321), (-122.3167806860529 47.60556728379964, -122.3167804659814 47.60620304511057), (-122.3167818935114 47.60169336763757, -122.3167818036382 47.60268590678361), (-122.316781132711 47.60436038504321, -122.316780930803 47.60498026451873, -122.3167808925764 47.60519641923843), (-122.3167818036382 47.60268590678361, -122.3167815239497 47.60351415994518), (-122.3167808925764 47.60519641923843, -122.3167806860529 47.60556728379964))",2359.0,2017-07-18 07:05:00,POINT (-122.3167815128648 47.6035383744435),"LINESTRING (-122.3167815240629 47.60351416000071, -122.3167812116301 47.60418975693863, -122.3167811327256 47.60436038508946)",25.0,52.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,2
17141.0,16571.0,17600,E972410,"MULTILINESTRING ((-122.3167799705519 47.60922659445392, -122.316779352667 47.61039501205081), (-122.316779352667 47.61039501205081, -122.3167792897297 47.61055500477824, -122.316778888887 47.61156267643909), (-122.316778888887 47.61156267643909, -122.3167333906163 47.61288923571168), (-122.3167799138015 47.60805877756261, -122.3167799705519 47.60922659445392))",2360.0,2019-10-16 07:36:00,POINT (-122.3167793452648 47.61041378426972),"LINESTRING (-122.3167793526482 47.61039501200112, -122.3167792897206 47.61055500482571, -122.3167788890065 47.61156267635567)",25.0,52.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3
9345.0,8919.0,9300,E729516,"MULTILINESTRING ((-122.3168251084349 47.62534626842018, -122.3168061523802 47.62652522324571), (-122.3167547483661 47.62311417876733, -122.3167367412321 47.62426222797525), (-122.3167367412321 47.62426222797525, -122.3167241919379 47.62506132253547, -122.316725437446 47.62508045437126, -122.3167287940491 47.62509946783361, -122.3167342600279 47.62511825589181, -122.3167418070082 47.62513671006334, -122.3167513908578 47.62515472926778, -122.3167629566749 47.62517220806694, -122.3167764403998 47.62518904653943, -122.3167895117893 47.62520542438974, -122.3168006624975 47.62522243810274, -122.3168098218106 47.62523998784503, -122.3168169360758 47.62525796546423, -122.3168219623078 47.62527626356848, -122.3168248679832 47.6252947683323, -122.3168256380502 47.62531337199949, -122.3168251084349 47.62534626842018), (-122.3167730011865 47.62196576736823, -122.3167547483661 47.62311417876733), (-122.31694644628 47.62110408786663, -122.3167833544059 47.62131723837312, -122.3167811956412 47.62145254175819, -122.3167730011865 47.62196576736823), (-122.3169283425092 47.61993670711801, -122.31694644628 47.62110408786663))",15056.0,2017-10-25 07:02:00,POINT (-122.316788543435 47.62196585220854),"LINESTRING (-122.3178231094123 47.62197149601766, -122.3167730012576 47.62196576742218)",20.0,24.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
26343.0,23388.0,26300,E987073,"LINESTRING (-122.3167818935114 47.60169336763757, -122.316965103796 47.60085285854039)",8516.0,2019-11-26 10:53:00,POINT (-122.3168081449856 47.60157293437929),"LINESTRING (-122.3167818935147 47.60169336765313, -122.3169651036862 47.60085285852872)",25.0,46.0,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,3
13066.0,12087.0,13100,E685366,"MULTILINESTRING ((-122.3167815239497 47.60351415994518, -122.3167812117053 47.60418975696334, -122.316781132711 47.60436038504321), (-122.3167806860529 47.60556728379964, -122.3167804659814 47.60620304511057), (-122.3167818935114 47.60169336763757, -122.3167818036382 47.60268590678361), (-122.316781132711 47.60436038504321, -122.316780930803 47.60498026451873, -122.3167808925764 47.60519641923843), (-122.3167818036382 47.60268590678361, -122.3167815239497 47.60351415994518), (-122.3167808925764 47.60519641923843, -122.3167806860529 47.60556728379964))",5083.0,2017-06-23 16:35:00,POINT (-122.3167818924756 47.60170484450443),"LINESTRING (-122.3167818935147 47.60169336765313, -122.3167818036517 47.60268590684915)",25.0,52.0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,2
13066.0,12087.0,13100,3795461,"MULTILINESTRING ((-122.3167815239497 47.60351415994518, -122.3167812117053 47.60418975696334, -122.316781132711 47.60436038504321), (-122.3167806860529 47.60556728379964, -122.3167804659814 47.60620304511057), (-122.3167818935114 47.60169336763757, -122.3167818036382 47.60268590678361), (-122.316781132711 47.60436038504321, -122.316780930803 47.60498026451873, -122.3167808925764 47.60519641923843), (-122.3167818036382 47.60268590678361, -122.3167815239497 47.60351415994518), (-122.3167808925764 47.60519641923843, -122.3167806860529 47.60556728379964))",5083.0,2019-09-10 17:40:00,POINT (-122.3167818924756 47.60170484450443),"LINESTRING (-122.3167818935147 47.60169336765313, -122.3167818036517 47.60268590684915)",25.0,52.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,2
